,node_1_attributes,node_2_attributes,node_1,node_2,edge,chunk_id,count,Expert Answer,Short Justification,<- Fill the Answers in these columns
0,"{'is_active_ingredient': False, 'explanation': 'X1, X2, and X3 are placeholder variables representing atoms in a chemical structure, not active ingredients themselves.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'R1, R2, R3, and R4 are placeholder variables representing substituents in a chemical structure, not active ingredients themselves.', 'category': 'chemical_compound'}","x1, x2, x3","r1, r2, r3, r4",related to,99e23d8937b44c9ba5218ea18f54ccab,4,,,
1,"{'is_active_ingredient': False, 'explanation': 'R1-R2, R2-R3 and R3-R4 pairs are placeholders representing fused chemical groups, not active ingredients.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'phenyl and 6-membered heterocycle are chemical structures which may be part of an active ingredient but are not active ingredients by themselves.', 'category': 'chemical_compound'}","r1-r2, r2-r3, r3-r4 pairs",phenyl or 6-membered heterocycle,may form,99e23d8937b44c9ba5218ea18f54ccab,4,,,
2,"{'is_active_ingredient': False, 'explanation': 'R5, R6, R7, and R8 are placeholder variables representing substituents in a chemical structure, not active ingredients themselves.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'Hydrogen, unsubstituted or substituted C1-C4 alkyl, C1-C4 alkoxy, halogen, cyano, nitro, and amino are chemical groups that can be part of an active ingredient but are not active ingredients by themselves.', 'category': 'functional_group'}","r5, r6, r7, r8","hydrogen, c1-c4 alkyl, c1-c4 alkoxy, halogen, cyano, nitro, amino",selected from,99e23d8937b44c9ba5218ea18f54ccab,4,,,
3,"{'is_active_ingredient': False, 'explanation': 'L is a placeholder representing a functional group in a chemical structure, not an active ingredient itself.', 'category': 'functional_group'}","{'is_active_ingredient': False, 'explanation': 'Carbonyl group (-C(=O)-) and thioxo group (-C(=S)-) are functional groups that can be part of an active ingredient but are not active ingredients by themselves.', 'category': 'functional_group'}",l,"carbonyl group (-c(=o)-), thioxo group (-c(=s)-)",may be,99e23d8937b44c9ba5218ea18f54ccab,4,,,
4,"{'is_active_ingredient': True, 'explanation': 'The compound described in claim 1 is likely an active ingredient due to its detailed chemical description and mention as a pharmaceutically acceptable salt.', 'category': 'active_ingredient'}","{'is_active_ingredient': False, 'explanation': 'The detailed chemical name represents the structure of compound 1, which is used to identify it but does not itself indicate an active ingredient.', 'category': 'chemical_compound'}",compound 1,"(3,5-dibromo-4-hydroxy-phenyl)-(2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl)-methanone (compound 1)",hasFormula,99e23d8937b44c9ba5218ea18f54ccab,4,,,
5,"{'is_active_ingredient': False, 'explanation': 'Compound 1 is mentioned in a list of chemical compounds, but there is no specific indication that it is an active ingredient.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'The chemical formula of Compound 1 is provided, but there is no information in the context suggesting it is an active ingredient.', 'category': 'chemical_compound'}",compound 1,"(3,5-dibromo-4-hydroxy-phenyl)-(2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl)-methanone",hasFormula,a93526cdd2b54a9d83230080a1e92b6a,4,,,
6,"{'is_active_ingredient': False, 'explanation': 'Compound 2 is mentioned in a list of chemical compounds, but there is no specific indication that it is an active ingredient.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'The chemical formula of Compound 2 is provided, but there is no information in the context suggesting it is an active ingredient.', 'category': 'chemical_compound'}",compound 2,"(3,5-dibromo-4-methoxy-phenyl)-(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-yl)-methanone",hasFormula,a93526cdd2b54a9d83230080a1e92b6a,4,,,
7,"{'is_active_ingredient': False, 'explanation': 'Compound 3 is mentioned in a list of chemical compounds, but there is no specific indication that it is an active ingredient.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'The chemical formula of Compound 3 is provided, but there is no information in the context suggesting it is an active ingredient.', 'category': 'chemical_compound'}",compound 3,"(3,5-dibromo-4-hydroxy-phenyl)-(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-yl)-methanone hydrobromic acid salt",hasFormula,a93526cdd2b54a9d83230080a1e92b6a,4,,,
8,"{'is_active_ingredient': False, 'explanation': 'Compound 4 is mentioned in a list of chemical compounds, but there is no specific indication that it is an active ingredient.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'The chemical formula of Compound 4 is provided, but there is no information in the context suggesting it is an active ingredient.', 'category': 'chemical_compound'}",compound 4,"(3,5-dibromo-4-hydroxy-phenyl)-(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-yl)-methanone",hasFormula,a93526cdd2b54a9d83230080a1e92b6a,4,,,
9,"{'is_active_ingredient': False, 'explanation': 'Compound 5 is mentioned in a list of chemical compounds, but there is no specific indication that it is an active ingredient.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'The chemical formula of Compound 5 is provided, but there is no information in the context suggesting it is an active ingredient.', 'category': 'chemical_compound'}",compound 5,"(3,5-dibromo-4-methoxy-phenyl)-(2,3-dihydro-pyrido[3,4-b][1,4]oxazin-1-yl)-methanone",hasFormula,a93526cdd2b54a9d83230080a1e92b6a,4,,,
10,"{'is_active_ingredient': False, 'explanation': 'Compound 6 is mentioned in a list of chemical compounds, but there is no specific indication that it is an active ingredient.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'The chemical formula of Compound 6 is provided, but there is no information in the context suggesting it is an active ingredient.', 'category': 'chemical_compound'}",compound 6,"(3,5-dibromo-4-hydroxy-phenyl)-(2,3-dihydro-pyrido[3,4-b][1,4]oxazin-1-yl)-methanone",hasFormula,a93526cdd2b54a9d83230080a1e92b6a,4,,,
11,"{'is_active_ingredient': False, 'explanation': 'Compound 7 is mentioned in a list of chemical compounds, but there is no specific indication that it is an active ingredient.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'The chemical formula of Compound 7 is provided, but there is no information in the context suggesting it is an active ingredient.', 'category': 'chemical_compound'}",compound 7,"(3,5-dibromo-4-hydroxy-phenyl)-(6-methyl-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl)-methanone",hasFormula,a93526cdd2b54a9d83230080a1e92b6a,4,,,
12,"{'is_active_ingredient': False, 'explanation': 'Compound 8 is mentioned in a list of chemical compounds, but there is no specific indication that it is an active ingredient.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'The chemical formula of Compound 8 is provided, but there is no information in the context suggesting it is an active ingredient.', 'category': 'chemical_compound'}",compound 8,"(3,5-dibromo-4-hydroxy-phenyl)-(2,2-dimethyl-2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-yl)-methanone",hasFormula,a93526cdd2b54a9d83230080a1e92b6a,4,,,
13,"{'is_active_ingredient': False, 'explanation': 'Compound 9 is mentioned in a list of chemical compounds, but there is no specific indication that it is an active ingredient.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'The chemical formula of Compound 9 is provided, but there is no information in the context suggesting it is an active ingredient.', 'category': 'chemical_compound'}",compound 9,"(3,5-dibromo-4-hydroxy-phenyl)-(7-cyclopropyl-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl)-methanone",hasFormula,a93526cdd2b54a9d83230080a1e92b6a,4,,,
14,"{'is_active_ingredient': False, 'explanation': 'Compound 10 is mentioned in a list of chemical compounds, but there is no specific indication that it is an active ingredient.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'The chemical formula of Compound 10 is provided, but there is no information in the context suggesting it is an active ingredient.', 'category': 'chemical_compound'}",compound 10,"(3-chloro-4-hydroxy-phenyl)-(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-yl)-methanone hydrobromic acid salt",hasFormula,a93526cdd2b54a9d83230080a1e92b6a,4,,,
15,"{'is_active_ingredient': False, 'explanation': 'Compound 11 is mentioned in a list of chemical compounds, but there is no specific indication that it is an active ingredient.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'The chemical formula of Compound 11 is provided, but there is no information in the context suggesting it is an active ingredient.', 'category': 'chemical_compound'}",compound 11,"(3-bromo-4-hydroxy-phenyl)-(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-yl)-methanone hydrobromic acid salt",hasFormula,a93526cdd2b54a9d83230080a1e92b6a,4,,,
16,"{'is_active_ingredient': False, 'explanation': 'Compound 12 is mentioned in a list of chemical compounds, but there is no specific indication that it is an active ingredient.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'The chemical formula of Compound 12 is provided, but there is no information in the context suggesting it is an active ingredient.', 'category': 'chemical_compound'}",compound 12,"(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-yl)-(4-hydroxy-3-trifluoromethyl-phenyl)-methanone",hasFormula,a93526cdd2b54a9d83230080a1e92b6a,4,,,
17,"{'is_active_ingredient': False, 'explanation': 'Compound 13 is mentioned in a list of chemical compounds, but there is no specific indication that it is an active ingredient.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'The chemical formula of Compound 13 is provided, but there is no information in the context suggesting it is an active ingredient.', 'category': 'chemical_compound'}",compound 13,"(3,5-dichloro-4-hydroxy-phenyl)-(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-yl)-methanone hydrobromic acid salt",hasFormula,a93526cdd2b54a9d83230080a1e92b6a,4,,,
18,"{'is_active_ingredient': True, 'explanation': 'Compound 12 is listed among a series of compounds likely being studied for their active properties.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'The chemical formula represents the structure of compound 12.', 'category': 'chemical_compound'}",compound 12,"(3,5-dichloro-4-hydroxy-phenyl)-(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-yl)-methanone",hasFormula,de806a7468d14fcda9ad674c75c41db6,4,,,
19,"{'is_active_ingredient': True, 'explanation': 'Compound 13 is listed among a series of compounds likely being studied for their active properties.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'The chemical formula represents the structure of compound 13.', 'category': 'chemical_compound'}",compound 13,"(3-chloro-4-hydroxy-5-nitro-phenyl)-(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-yl)-methanone",hasFormula,de806a7468d14fcda9ad674c75c41db6,4,,,
20,"{'is_active_ingredient': True, 'explanation': 'Compound 14 is listed among a series of compounds likely being studied for their active properties.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'The chemical formula represents the structure of compound 14.', 'category': 'chemical_compound'}",compound 14,"(3,5-dichloro-4-hydroxy-phenyl)-(2,3-dihydro-pyrido[3,4-b][1,4]oxazin-1-yl)-methanone hydrobromic acid salt",hasFormula,de806a7468d14fcda9ad674c75c41db6,4,,,
21,"{'is_active_ingredient': True, 'explanation': 'Compound 15 is listed among a series of compounds likely being studied for their active properties.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'The chemical formula represents the structure of compound 15.', 'category': 'chemical_compound'}",compound 15,"(3-bromo-4-hydroxy-phenyl)-(2,3-dihydro-pyrido[3,4-b][1,4]oxazin-1-yl)-methanone hydrobromic acid salt",hasFormula,de806a7468d14fcda9ad674c75c41db6,4,,,
22,"{'is_active_ingredient': True, 'explanation': 'Compound 16 is listed among a series of compounds likely being studied for their active properties.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'The chemical formula represents the structure of compound 16.', 'category': 'chemical_compound'}",compound 16,"(3-chloro-4-hydroxy-5-nitro-phenyl)-(2,3-dihydro-pyrido[3,4-b][1,4]oxazin-1-yl)-methanone hydrobromic acid salt",hasFormula,de806a7468d14fcda9ad674c75c41db6,4,,,
23,"{'is_active_ingredient': True, 'explanation': 'Compound 17 is listed among a series of compounds likely being studied for their active properties.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'The chemical formula represents the structure of compound 17.', 'category': 'chemical_compound'}",compound 17,"(3-chloro-4-hydroxy-phenyl)-(2,3-dihydro-pyrido[3,4-b][1,4]oxazin-1-yl)-methanone hydrobromic acid salt",hasFormula,de806a7468d14fcda9ad674c75c41db6,4,,,
24,"{'is_active_ingredient': True, 'explanation': 'Compound 18 is listed among a series of compounds likely being studied for their active properties.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'The chemical formula represents the structure of compound 18.', 'category': 'chemical_compound'}",compound 18,"(2,3-dihydro-pyrido[3,4-b][1,4]oxazin-1-yl)-(4-hydroxy-3-trifluoromethyl-phenyl)-methanone",hasFormula,de806a7468d14fcda9ad674c75c41db6,4,,,
25,"{'is_active_ingredient': True, 'explanation': 'Compound 19 is listed among a series of compounds likely being studied for their active properties.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'The chemical formula represents the structure of compound 19.', 'category': 'chemical_compound'}",compound 19,"(3,5-dibromo-4-hydroxy-phenyl)-(7-phenyl-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl)-methanone",hasFormula,de806a7468d14fcda9ad674c75c41db6,4,,,
26,"{'is_active_ingredient': True, 'explanation': 'Compound 20 is listed among a series of compounds likely being studied for their active properties.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'The chemical formula represents the structure of compound 20.', 'category': 'chemical_compound'}",compound 20,"2,6-dichloro-4-(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-sulfonyl)-phenol",hasFormula,de806a7468d14fcda9ad674c75c41db6,4,,,
27,"{'is_active_ingredient': True, 'explanation': 'Compound 21 is listed among a series of compounds likely being studied for their active properties.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'The chemical formula represents the structure of compound 21.', 'category': 'chemical_compound'}",compound 21,"(3,5-dibromo-4-methoxy-phenyl)-(7-trifluoromethyl-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl)-methanone",hasFormula,de806a7468d14fcda9ad674c75c41db6,4,,,
28,"{'is_active_ingredient': True, 'explanation': 'Compound 22-1 is listed among a series of compounds likely being studied for their active properties.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'The chemical formula represents the structure of compound 22-1.', 'category': 'chemical_compound'}",compound 22-1,"(3,5-dibromo-4-hydroxy-phenyl)-(7-trifluoromethyl-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl)-methanone",hasFormula,de806a7468d14fcda9ad674c75c41db6,4,,,
29,"{'is_active_ingredient': True, 'explanation': 'Compound 22-2 is listed among a series of compounds likely being studied for their active properties.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'The chemical formula represents the structure of compound 22-2.', 'category': 'chemical_compound'}",compound 22-2,"2,5-dibromo-4-(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-carbonyl)-benzoic acid",hasFormula,de806a7468d14fcda9ad674c75c41db6,4,,,
30,"{'is_active_ingredient': True, 'explanation': 'Compound 23 is listed among a series of compounds likely being studied for their active properties.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'The chemical formula represents the structure of compound 23.', 'category': 'chemical_compound'}",compound 23,"[2,6-dibromo-4-(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-carbonyl)-phenoxy]-acetic acid methyl ester",hasFormula,de806a7468d14fcda9ad674c75c41db6,4,,,
31,"{'is_active_ingredient': True, 'explanation': 'Compound 24 is listed among a series of compounds likely being studied for their active properties.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'The chemical formula represents the structure of compound 24.', 'category': 'chemical_compound'}",compound 24,"[2,6-dibromo-4-(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-carbonyl)-phenoxy]-acetic acid methyl ester",hasFormula,de806a7468d14fcda9ad674c75c41db6,4,,,
32,"{'is_active_ingredient': False, 'explanation': 'Compound 23 is a part of a list of chemical compounds mentioned, but there is no context to suggest it is an active ingredient.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'Compound 24 is a part of a list of chemical compounds mentioned, but there is no context to suggest it is an active ingredient.', 'category': 'chemical_compound'}",acid (compound 23),"[2,6-dibromo-4-(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-carbonyl)-phenoxy]-acetic acid methyl ester (compound 24)",coOccursWith,3b1815663bea45ebbad269fab25e0b1c,4,,,
33,"{'is_active_ingredient': False, 'explanation': 'Compound 24 is a part of a list of chemical compounds mentioned, but there is no context to suggest it is an active ingredient.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'Compound 25 is a part of a list of chemical compounds mentioned, but there is no context to suggest it is an active ingredient.', 'category': 'chemical_compound'}","[2,6-dibromo-4-(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-carbonyl)-phenoxy]-acetic acid methyl ester (compound 24)","(7-bromo-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl)-(3,5-dibromo-4-hydroxy-phenyl)-methanone (compound 25)",coOccursWith,3b1815663bea45ebbad269fab25e0b1c,4,,,
34,"{'is_active_ingredient': False, 'explanation': 'Compound 25 is a part of a list of chemical compounds mentioned, but there is no context to suggest it is an active ingredient.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'Compound 26 is a part of a list of chemical compounds mentioned, but there is no context to suggest it is an active ingredient.', 'category': 'chemical_compound'}","(7-bromo-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl)-(3,5-dibromo-4-hydroxy-phenyl)-methanone (compound 25)","(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-yl)-(3-fluoro-4-hydroxy-phenyl)-methanone (compound 26)",coOccursWith,3b1815663bea45ebbad269fab25e0b1c,4,,,
35,"{'is_active_ingredient': False, 'explanation': 'Compound 26 is a part of a list of chemical compounds mentioned, but there is no context to suggest it is an active ingredient.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'Compound 27-1 is a part of a list of chemical compounds mentioned, but there is no context to suggest it is an active ingredient.', 'category': 'chemical_compound'}","(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-yl)-(3-fluoro-4-hydroxy-phenyl)-methanone (compound 26)","(3,5-dibromo-4-methoxy-phenyl)-(7-methyl-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl)-methanone (compound 27-1)",coOccursWith,3b1815663bea45ebbad269fab25e0b1c,4,,,
36,"{'is_active_ingredient': False, 'explanation': 'Compound 27-1 is a part of a list of chemical compounds mentioned, but there is no context to suggest it is an active ingredient.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'Compound 27-2 is a part of a list of chemical compounds mentioned, but there is no context to suggest it is an active ingredient.', 'category': 'chemical_compound'}","(3,5-dibromo-4-methoxy-phenyl)-(7-methyl-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl)-methanone (compound 27-1)","(3,5-dibromo-4-hydroxy-phenyl)-(7-methyl-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl)-methanone (compound 27-2)",coOccursWith,3b1815663bea45ebbad269fab25e0b1c,4,,,
37,"{'is_active_ingredient': False, 'explanation': 'Compound 27-2 is a part of a list of chemical compounds mentioned, but there is no context to suggest it is an active ingredient.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'Compound 28 is a part of a list of chemical compounds mentioned, but there is no context to suggest it is an active ingredient.', 'category': 'chemical_compound'}","(3,5-dibromo-4-hydroxy-phenyl)-(7-methyl-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl)-methanone (compound 27-2)","(3,5-difluoro-4-methoxy-phenyl)-(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-yl)-methanone (compound 28)",coOccursWith,3b1815663bea45ebbad269fab25e0b1c,4,,,
38,"{'is_active_ingredient': False, 'explanation': 'Compound 28 is a part of a list of chemical compounds mentioned, but there is no context to suggest it is an active ingredient.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'Compound 29 is a part of a list of chemical compounds mentioned, but there is no context to suggest it is an active ingredient.', 'category': 'chemical_compound'}","(3,5-difluoro-4-methoxy-phenyl)-(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-yl)-methanone (compound 28)","(3,5-difluoro-4-hydroxy-phenyl)-(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-yl)-methanone (compound 29)",coOccursWith,3b1815663bea45ebbad269fab25e0b1c,4,,,
39,"{'is_active_ingredient': False, 'explanation': 'Compound 29 is a part of a list of chemical compounds mentioned, but there is no context to suggest it is an active ingredient.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'Compound 30 is a part of a list of chemical compounds mentioned, but there is no context to suggest it is an active ingredient.', 'category': 'chemical_compound'}","(3,5-difluoro-4-hydroxy-phenyl)-(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-yl)-methanone (compound 29)","(5-chloro-2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-yl)-(3,5-dibromo-4-hydroxy-phenyl)-methanone (compound 30)",coOccursWith,3b1815663bea45ebbad269fab25e0b1c,4,,,
40,"{'is_active_ingredient': False, 'explanation': 'Compound 30 is a part of a list of chemical compounds mentioned, but there is no context to suggest it is an active ingredient.', 'category': 'chemical_compound'}","{'is_active_ingredient': False, 'explanation': 'Compound 31 is a part of a list of chemical compounds mentioned, but there is no context to suggest it is an active ingredient.', 'category': 'chemical_compound'}","(5-chloro-2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-yl)-(3,5-dibromo-4-hydroxy-phenyl)-methanone (compound 30)","(2,6-dichloro-pyridin-4-yl)-(2,3-dihydro-pyrido[4,3-b][1,4]oxazin-4-yl)-methanone (compound 31)",coOccursWith,3b1815663bea45ebbad269fab25e0b1c,4,,,
